battle_id,p1_team_size,p1_avg_level,p1_level_std,p1_total_hp,p1_avg_hp,p1_species_diversity,p1_type_diversity,p1_dual_type_count,p1_avg_bst,p1_bst_std,p1_min_bst,p1_max_bst,p1_legendary_count,p1_pseudo_legendary_count,p2_team_size,p2_avg_level,p2_level_std,p2_total_hp,p2_avg_hp,p2_species_diversity,p2_type_diversity,p2_dual_type_count,p2_avg_bst,p2_bst_std,p2_min_bst,p2_max_bst,p2_legendary_count,p2_pseudo_legendary_count,type_advantage_score,p1_super_effective_count,p2_super_effective_count,p1_resisted_count,p2_resisted_count,level_advantage_p1,hp_advantage_p1,bst_advantage_p1,team_size_difference,winner
gen9randombattle-2398542323,5,82.2,4.445222154178574,1362,272.4,5,3,1,440.0,80.0,400,600,1,1,6,81.83333333333333,7.289642576209679,1602,267.0,6,5,2,456.6666666666667,80.96638534327413,400,590,1,0,-2,0,2,0,0,0.36666666666667425,-240,-16.666666666666686,1,p1
gen9randombattle-2401634345,6,83.83333333333333,4.487637339278753,1663,277.1666666666667,6,8,4,472.5,77.66112283504533,400,600,1,1,6,83.16666666666667,4.13991411612474,1561,260.1666666666667,6,4,2,461.6666666666667,87.63877883423271,400,600,1,1,5,9,4,0,0,0.6666666666666572,102,10.833333333333314,0,p1
gen9randombattle-2398413534,7,81.71428571428571,4.712120714991612,2051,293.0,6,4,1,444.85714285714283,68.0471025339456,400,600,1,1,6,84.33333333333333,5.21749194749951,1736,289.3333333333333,6,4,2,440.8333333333333,58.196267539727636,400,535,0,0,-7,1,8,0,0,-2.6190476190476204,315,4.023809523809518,1,p2
gen9randombattle-2392609529,6,81.83333333333333,5.241395064505462,1626,271.0,4,1,0,453.3333333333333,119.25695879998878,400,720,1,0,6,82.66666666666667,3.2489314482696545,1744,290.6666666666667,6,5,2,431.6666666666667,70.80881928749334,400,590,1,0,0,0,0,0,0,-0.8333333333333428,-118,21.66666666666663,0,p1
gen9randombattle-2391091478,6,83.83333333333333,3.287180487219337,1716,286.0,6,1,0,400.0,0.0,400,400,0,0,5,84.2,2.9933259094191533,1433,286.6,5,4,1,466.0,83.80930735902786,400,600,1,1,0,0,0,0,0,-0.36666666666667425,283,-66.0,1,p2
gen9randombattle-2400942642,6,86.5,6.370504951205464,1557,259.5,6,1,0,400.0,0.0,400,400,0,0,6,81.16666666666667,7.903937134252917,1756,292.6666666666667,6,7,3,492.5,108.31089511217235,400,680,2,0,0,0,0,0,0,5.333333333333329,-199,-92.5,0,p1
gen9randombattle-2393444388,5,77.6,8.5463442476886,1292,258.4,5,6,2,534.8,120.74833332183098,400,670,2,0,4,80.0,3.5355339059327378,1065,266.25,4,1,0,400.0,0.0,400,400,0,0,4,4,0,0,0,-2.4000000000000057,227,134.79999999999995,1,p2
gen9randombattle-2400207632,5,88.8,6.305553108173778,1400,280.0,5,1,0,400.0,0.0,400,400,0,0,6,80.33333333333333,3.590109871423003,1660,276.6666666666667,6,4,1,439.1666666666667,56.303986438696235,400,535,0,0,-5,0,5,0,0,8.466666666666669,-260,-39.166666666666686,1,p2
gen9randombattle-2391235525,6,84.33333333333333,3.901566636906542,1630,271.6666666666667,6,5,2,447.6666666666667,75.01481335191218,400,600,1,1,6,79.33333333333333,3.39934634239519,1606,267.6666666666667,6,5,2,488.0,113.72481406154654,400,720,1,0,-1,2,3,0,0,5.0,24,-40.333333333333314,0,p2
gen9randombattle-2398382995,2,85.0,3.0,579,289.5,2,3,1,450.0,50.0,400,500,0,0,2,85.5,3.5,552,276.0,2,1,0,400.0,0.0,400,400,0,0,2,2,0,0,0,-0.5,27,50.0,0,p1
gen9randombattle-2401316131,6,82.5,2.217355782608345,1557,259.5,6,3,1,417.6666666666667,39.503867602496285,400,506,0,0,6,83.66666666666667,4.109609335312651,1715,285.8333333333333,6,5,3,474.1666666666667,78.55023162848656,400,600,1,1,-2,0,2,0,0,-1.1666666666666714,-158,-56.5,0,p2
gen9randombattle-2397496193,6,81.5,3.8622100754188224,1555,259.1666666666667,6,4,2,433.3333333333333,74.53559924999298,400,600,1,1,6,87.0,5.744562646538029,1765,294.1666666666667,6,3,0,435.0,51.55902766086007,400,530,0,0,0,1,1,0,0,-5.5,-210,-1.6666666666666856,0,p1
gen9randombattle-2397025744,6,83.83333333333333,4.297932319409209,1805,300.8333333333333,6,3,1,400.0,0.0,400,400,0,0,6,81.5,4.6097722286464435,1618,269.6666666666667,6,3,1,431.6666666666667,70.80881928749334,400,590,1,0,6,6,0,0,0,2.3333333333333286,187,-31.666666666666686,0,p2
gen9randombattle-2394791073,6,84.5,5.315072906367325,1782,297.0,6,3,1,427.8333333333333,54.986109357020545,400,550,0,0,6,83.16666666666667,6.361778227997438,1594,265.6666666666667,6,5,2,464.1666666666667,72.93928220711312,400,590,1,0,-2,0,2,0,0,1.3333333333333286,188,-36.33333333333337,0,p1
gen9randombattle-2392246214,5,82.0,3.1622776601683795,1397,279.4,5,3,1,434.0,68.0,400,570,0,0,6,84.5,7.847504911329036,1821,303.5,6,6,3,459.1666666666667,64.57661255353123,400,570,0,0,4,5,1,0,0,-2.5,-424,-25.166666666666686,1,p1
gen9randombattle-2396926828,4,86.0,2.9154759474226504,1251,312.75,4,5,2,421.5,37.239092362730865,400,486,0,0,4,76.75,4.493050188902857,1135,283.75,4,7,3,591.5,76.13639077340086,476,690,3,2,-2,3,5,0,0,9.25,116,-170.0,0,p2
gen9randombattle-2391305553,6,86.5,4.4628092796652945,1662,277.0,6,5,1,460.3333333333333,72.2418776672429,400,600,1,1,6,81.0,4.618802153517006,1543,257.1666666666667,6,5,3,470.0,71.58910531638176,400,570,0,0,0,3,3,0,0,5.5,119,-9.666666666666686,0,p1
gen9randombattle-2401072067,5,84.6,5.571355310873648,1504,300.8,5,2,0,440.0,80.0,400,600,1,1,6,86.5,3.8622100754188224,1804,300.6666666666667,6,1,0,400.0,0.0,400,400,0,0,0,0,0,0,0,-1.9000000000000057,-300,40.0,1,p1
gen9randombattle-2398774305,6,83.66666666666667,5.185449728701348,1621,270.1666666666667,6,7,2,485.8333333333333,70.85293846333326,400,600,1,1,4,79.75,5.931905258852336,1029,257.25,4,3,1,470.0,121.2435565298214,400,680,1,0,3,5,2,0,0,3.9166666666666714,592,15.833333333333314,2,p2
gen9randombattle-2394629183,6,82.83333333333333,3.5784850922639815,1596,266.0,6,3,1,413.0,29.068883707497267,400,478,0,0,6,83.66666666666667,6.128258770283412,1703,283.8333333333333,6,2,0,412.8333333333333,28.696205711247302,400,477,0,0,0,0,0,0,0,-0.8333333333333428,-107,0.16666666666668561,0,p2
gen9randombattle-2402628051,4,86.5,2.8722813232690143,1083,270.75,4,1,0,400.0,0.0,400,400,0,0,3,83.33333333333333,8.379870059984357,775,258.3333333333333,3,2,0,490.0,127.27922061357856,400,670,1,0,0,0,0,0,0,3.1666666666666714,308,-90.0,1,p2
gen9randombattle-2400298027,6,83.66666666666667,8.919392106839767,1874,312.3333333333333,6,3,1,446.6666666666667,104.3498389499902,400,680,1,0,6,84.0,3.559026084010437,1759,293.1666666666667,6,7,3,474.1666666666667,83.18737217203636,400,600,1,1,0,1,1,0,0,-0.3333333333333286,115,-27.5,0,p2
gen9randombattle-2397280671,5,82.6,2.1540659228538015,1604,320.8,5,3,1,425.0,50.0,400,525,0,0,5,82.8,4.621688003316538,1360,272.0,5,3,1,423.0,46.0,400,515,0,0,0,1,1,0,0,-0.20000000000000284,244,2.0,0,p1
gen9randombattle-2391708276,6,83.33333333333333,5.280993172584954,1631,271.8333333333333,6,4,2,467.5,105.42572424855963,400,680,1,0,6,78.16666666666667,4.740487551109297,1703,283.8333333333333,6,3,1,470.0,117.61519176251566,400,720,1,0,1,1,0,0,0,5.166666666666657,-72,-2.5,0,p1
gen9randombattle-2393255108,1,82.0,0.0,216,216.0,1,2,1,600.0,0.0,600,600,1,1,2,91.0,2.0,657,328.5,2,1,0,400.0,0.0,400,400,0,0,0,0,0,0,0,-9.0,-441,200.0,1,p2
gen9randombattle-2390896715,3,91.33333333333333,2.494438257849294,938,312.6666666666667,3,1,0,400.0,0.0,400,400,0,0,4,85.0,3.391164991562634,1061,265.25,4,3,1,400.0,0.0,400,400,0,0,0,0,0,0,0,6.333333333333329,-123,0.0,1,p1
gen9randombattle-2401907422,6,87.0,4.96655480858378,1645,274.1666666666667,6,1,0,400.0,0.0,400,400,0,0,6,85.4,2.6532998322843198,1736,289.3333333333333,6,2,0,415.8333333333333,35.40440964374667,400,495,0,0,0,0,0,0,0,1.5999999999999943,-91,-15.833333333333314,0,p2
gen9randombattle-2393957563,5,85.8,2.3151673805580453,1632,326.4,5,2,0,440.0,80.0,400,600,1,1,6,83.83333333333333,10.350791703482827,1642,273.6666666666667,6,4,1,433.3333333333333,47.14045207910317,400,500,0,0,0,0,0,0,0,1.9666666666666686,-10,6.666666666666686,1,p1
gen9randombattle-2392579202,6,83.5,4.536885862938733,1687,281.1666666666667,6,5,1,421.6666666666667,38.369548110737796,400,505,0,0,5,83.2,7.4404300950953095,1572,314.4,5,5,2,482.8,111.42423434782938,400,680,1,0,4,6,2,0,0,0.29999999999999716,115,-61.133333333333326,1,p2
gen9randombattle-2402072647,3,82.0,2.160246899469287,835,278.3333333333333,3,1,0,400.0,0.0,400,400,0,0,4,87.5,3.3541019662496847,1123,280.75,4,1,0,400.0,0.0,400,400,0,0,0,0,0,0,0,-5.5,-288,0.0,1,p1
gen9randombattle-2394600742,6,83.0,3.9157800414902435,1629,271.5,6,3,1,431.6666666666667,70.80881928749334,400,590,1,0,6,83.5,5.155902766086006,1896,316.0,6,4,1,451.8333333333333,75.96143027147981,400,590,1,0,-1,1,2,0,0,-0.5,-267,-20.16666666666663,0,p1
gen9randombattle-2395229195,6,87.16666666666667,4.597704741377907,1656,276.0,6,5,2,435.3333333333333,52.518779709949676,400,534,0,0,6,88.33333333333333,2.5603819159562025,1683,280.5,6,5,2,434.1666666666667,51.834405133613295,400,535,0,0,0,2,2,0,0,-1.1666666666666572,-27,1.1666666666666288,0,p1
gen9randombattle-2396289655,5,81.0,4.979959839195493,1456,291.2,5,4,1,470.0,87.17797887081348,400,600,1,1,6,85.0,9.72967967955095,1610,268.3333333333333,6,6,3,470.8333333333333,95.6737802233309,400,670,1,0,-1,2,3,0,0,-4.0,-154,-0.8333333333333144,1,p1
gen9randombattle-2397865114,3,84.33333333333333,4.9216076867444665,866,288.6666666666667,3,2,0,443.3333333333333,61.282587702834114,400,530,0,0,4,85.75,3.766629793329841,1097,274.25,4,3,1,426.5,45.89934640057525,400,506,0,0,0,0,0,0,0,-1.4166666666666714,-231,16.833333333333314,1,p1
gen9randombattle-2401245336,4,82.25,5.3091901453988255,1135,283.75,4,1,0,400.0,0.0,400,400,0,0,2,84.5,7.5,516,258.0,2,3,1,538.5,61.5,477,600,1,1,0,0,0,0,0,-2.25,619,-138.5,2,p1
gen9randombattle-2396082489,5,82.4,10.36532681587995,1402,280.4,5,3,1,502.0,131.51425778218876,400,720,2,0,5,82.6,6.151422599691879,1481,296.2,5,3,1,434.0,68.0,400,570,0,0,-5,0,5,0,0,-0.19999999999998863,-79,68.0,0,p2
gen9randombattle-2399760508,6,82.33333333333333,7.086763875156433,1775,295.8333333333333,6,5,2,494.8333333333333,109.81866366373654,400,680,2,1,6,87.16666666666667,7.71182353417285,1713,285.5,6,5,2,433.3333333333333,74.53559924999298,400,600,1,1,0,2,2,0,0,-4.833333333333343,62,61.5,0,p1
gen9randombattle-2393128277,6,82.33333333333333,4.068851871911234,1634,272.3333333333333,5,3,1,431.5,32.06633748964793,400,475,0,0,6,83.16666666666667,6.643710475998249,1753,292.1666666666667,6,3,1,446.6666666666667,104.3498389499902,400,680,1,0,0,0,0,0,0,-0.8333333333333428,-119,-15.166666666666686,0,p1
gen9randombattle-2395003302,6,83.33333333333333,7.086763875156433,1768,294.6666666666667,6,3,1,467.6666666666667,117.13477517610026,400,720,1,0,6,81.83333333333333,5.4594464513864,1652,275.3333333333333,6,7,4,503.5,93.08374365770499,400,670,1,0,-4,3,7,0,0,1.5,116,-35.833333333333314,0,p2
gen9randombattle-2392827421,4,83.25,1.299038105676658,1119,279.75,4,4,1,500.0,100.0,400,600,2,2,3,84.0,7.483314773547883,883,294.3333333333333,3,3,1,479.6666666666667,61.59184650224051,400,550,0,0,-1,0,1,0,0,-0.75,236,20.333333333333314,1,p1
gen9randombattle-2400017584,6,81.16666666666667,1.5723301886761005,1579,263.1666666666667,6,7,3,438.3333333333333,54.89889697333535,400,530,0,0,6,85.33333333333333,6.262764742685312,1770,295.0,6,6,3,485.0,102.26599304428298,400,680,1,0,3,8,5,0,0,-4.166666666666657,-191,-46.666666666666686,0,p2
gen9randombattle-2392434923,6,79.5,5.619905100029122,1902,317.0,6,3,1,446.6666666666667,104.3498389499902,400,680,1,0,3,81.0,2.943920288775949,763,254.33333333333334,3,4,1,502.0,81.69863319950137,400,600,1,1,-1,0,1,0,0,-1.5,1139,-55.333333333333314,3,p2
gen9randombattle-2397930577,5,79.8,8.304215796810679,1256,251.2,5,5,2,480.0,107.5174404457249,400,670,1,0,6,86.16666666666667,7.559026980299044,1721,286.8333333333333,6,3,1,446.6666666666667,104.34983894999019,400,680,1,0,5,6,1,0,0,-6.366666666666674,-465,33.333333333333314,1,p1
gen9randombattle-2397544534,6,84.83333333333333,5.955856128401879,1575,262.5,6,6,2,481.6666666666667,89.52032667997189,400,600,2,2,4,81.5,2.8722813232690143,1202,300.5,4,3,1,400.0,0.0,400,400,0,0,1,4,3,0,0,3.3333333333333286,373,81.66666666666669,2,p2
gen9randombattle-2393302415,6,85.0,3.2145502536643185,1666,277.6666666666667,6,5,2,435.0,52.44044240850758,400,535,0,0,6,80.66666666666667,4.189935029992179,1804,300.6666666666667,6,6,4,483.3333333333333,89.75274678557506,400,600,2,2,2,4,2,0,0,4.333333333333329,-138,-48.333333333333314,0,p1
gen9randombattle-2391101562,6,80.8,3.4292856398964497,1785,297.5,6,6,2,474.1666666666667,77.05066875475875,400,590,1,0,6,88.66666666666667,5.374838498865699,1700,283.3333333333333,6,2,1,414.1666666666667,31.677629681247026,400,485,0,0,0,0,0,0,0,-7.866666666666674,85,60.0,0,p1
gen9randombattle-2401107949,6,85.16666666666667,6.439893028787219,1679,279.8333333333333,6,3,1,446.6666666666667,104.34983894999019,400,680,1,0,5,83.2,2.9257477676655586,1348,269.6,5,3,1,420.0,40.0,400,500,0,0,0,1,1,0,0,1.9666666666666686,331,26.666666666666686,1,p2
gen9randombattle-2397933137,3,86.66666666666667,4.109609335312651,962,320.6666666666667,3,1,0,400.0,0.0,400,400,0,0,1,76.0,0.0,238,238.0,1,1,0,470.0,0.0,470,470,0,0,0,0,0,0,0,10.666666666666671,724,-70.0,2,p2
gen9randombattle-2391135732,2,84.5,0.5,512,256.0,2,1,0,400.0,0.0,400,400,0,0,3,86.33333333333333,4.496912521077347,869,289.6666666666667,3,1,0,400.0,0.0,400,400,0,0,0,0,0,0,0,-1.8333333333333286,-357,0.0,1,p1
gen9randombattle-2397480839,6,82.66666666666667,3.901566636906542,1815,302.5,6,4,1,449.1666666666667,70.73522617637002,400,570,0,0,6,82.66666666666667,4.714045207910317,1654,275.6666666666667,6,3,1,446.6666666666667,104.3498389499902,400,680,1,0,1,2,1,0,0,0.0,161,2.5,0,p1
gen9randombattle-2397177698,5,88.6,6.974238309665077,1553,310.6,4,1,0,400.0,0.0,400,400,0,0,6,84.66666666666667,6.847546194724712,1562,260.3333333333333,6,5,2,453.3333333333333,78.88106377466156,400,600,1,1,0,0,0,0,0,3.933333333333323,-9,-53.333333333333314,1,p1
gen9randombattle-2393068620,4,83.75,4.815340071064556,1108,277.0,4,3,1,447.5,82.27241335952168,400,590,1,0,3,80.33333333333333,5.792715732327588,851,283.6666666666667,3,3,2,529.3333333333334,51.259687431309565,480,600,1,1,-1,1,2,0,0,3.4166666666666714,257,-81.83333333333337,1,p2
gen9randombattle-2402405415,5,81.6,3.3823069050575527,1249,249.8,5,1,0,400.0,0.0,400,400,0,0,6,84.5,1.5,1945,324.1666666666667,6,5,2,437.6666666666667,53.421801625262404,400,520,0,0,0,0,0,0,0,-2.9000000000000057,-696,-37.666666666666686,1,p2
gen9randombattle-2397017920,5,89.2,6.273754856543249,1403,280.6,5,3,1,416.0,32.0,400,480,0,0,6,85.16666666666667,5.927806414592913,1841,306.8333333333333,6,1,0,400.0,0.0,400,400,0,0,0,0,0,0,0,4.033333333333331,-438,16.0,1,p1
gen9randombattle-2392514003,4,84.75,2.48746859276655,1084,271.0,4,3,1,427.0,46.76537180435969,400,508,0,0,4,84.75,9.01041064547005,1104,276.0,4,5,1,502.5,101.8270592720815,400,670,1,0,1,2,1,0,0,0.0,-20,-75.5,0,p2
gen9randombattle-2398937740,6,80.5,2.362907813126304,1674,279.0,6,3,1,446.6666666666667,104.3498389499902,400,680,1,0,6,87.5,5.993051532121734,1702,283.6666666666667,6,5,2,433.3333333333333,74.53559924999298,400,600,1,1,-1,1,2,0,0,-7.0,-28,13.333333333333371,0,p1
gen9randombattle-2398073195,6,81.5,4.890466917040404,1847,307.8333333333333,6,5,1,500.1666666666667,110.1822984371305,400,680,2,1,4,85.0,5.873670062235365,1071,267.75,4,1,0,400.0,0.0,400,400,0,0,0,0,0,0,0,-3.5,776,100.16666666666669,2,p2
gen9randombattle-2393073274,6,83.33333333333333,5.878397362849467,1719,286.5,6,3,1,433.3333333333333,74.53559924999298,400,600,1,1,6,82.33333333333333,2.808716591058786,1529,254.83333333333334,6,5,2,445.0,64.67869303977417,400,555,0,0,1,1,0,0,0,1.0,190,-11.666666666666686,0,p1
gen9randombattle-2393523237,6,85.83333333333333,7.690181330039552,1706,284.3333333333333,6,3,1,443.3333333333333,96.89627902499089,400,660,1,0,6,87.5,5.057996968497839,1685,280.8333333333333,6,3,1,433.3333333333333,74.53559924999298,400,600,1,1,-1,0,1,0,0,-1.6666666666666714,21,10.0,0,p2
gen9randombattle-2395622408,6,84.83333333333333,5.520165053893065,1607,267.8333333333333,6,1,0,400.0,0.0,400,400,0,0,6,82.33333333333333,4.921607686744467,1604,267.3333333333333,6,5,2,423.3333333333333,52.17491947499509,400,540,0,0,0,0,0,0,0,2.5,3,-23.333333333333314,0,p1
gen9randombattle-2398999968,5,81.6,5.083306010855534,1359,271.8,5,5,2,482.0,124.0,400,720,1,0,6,82.0,4.43471156521669,1566,261.0,6,3,1,433.3333333333333,74.53559924999298,400,600,1,1,5,6,1,0,0,-0.4000000000000057,-207,48.666666666666686,1,p1
gen9randombattle-2399849737,6,83.0,5.259911279353167,1618,269.6666666666667,6,5,2,453.3333333333333,75.64537145273478,400,570,0,0,6,77.66666666666667,5.08811250749125,1527,254.5,6,8,4,535.0,103.2392044396572,400,680,3,1,-8,1,9,0,0,5.333333333333329,91,-81.66666666666669,0,p1
gen9randombattle-2400381511,2,83.0,2.0,561,280.5,2,1,0,400.0,0.0,400,400,0,0,6,84.5,7.41057802513857,1616,269.3333333333333,6,8,3,502.5,94.76945710512433,400,680,1,0,0,0,0,0,0,-1.5,-1055,-102.5,4,p1
gen9randombattle-2395485175,6,83.66666666666667,4.955356249106169,1598,266.3333333333333,6,5,2,455.0,80.36375634160795,400,600,1,1,6,84.66666666666667,5.617433182117573,1670,278.3333333333333,6,4,2,443.3333333333333,61.3505410643532,400,535,0,0,-5,3,8,0,0,-1.0,-72,11.666666666666686,0,p1
gen9randombattle-2394618158,4,82.75,4.763139720814412,1117,279.25,4,1,0,400.0,0.0,400,400,0,0,6,80.66666666666667,8.379870059984356,1521,253.5,6,7,3,487.5,99.57200074987614,400,670,1,0,0,0,0,0,0,2.0833333333333286,-404,-87.5,2,p1
gen9randombattle-2395368873,6,80.0,5.686240703077327,1719,286.5,6,6,3,480.0,115.47005383792515,400,680,2,1,4,81.0,4.527692569068709,1115,278.75,4,3,1,500.0,100.0,400,600,2,2,0,1,1,0,0,-1.0,604,-20.0,2,p2
gen9randombattle-2393638107,6,80.33333333333333,6.209312003399053,1618,269.6666666666667,6,5,2,476.6666666666667,112.20021786471223,400,680,2,0,6,81.5,8.558621384311845,1600,266.6666666666667,5,6,2,445.0,100.62305898749054,400,670,1,0,-2,6,8,0,0,-1.1666666666666714,18,31.666666666666686,0,p2
